hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,theta_max,theta_min,mutation_prob,n_partitions
736613936092.0504,48.26166403229267,0.8159959552939567,3,mutation_prob=0.3,0,1.3120856285095215,10,0.35,0.02,0.3,5
670326456464.5312,40.7262078977372,0.8630725716832922,11,mutation_prob=0.3,1,1.305150032043457,10,0.35,0.02,0.3,5
503633261563.2295,231.26538496980888,0.9180805948567319,6,mutation_prob=0.3,2,1.2980077266693115,10,0.35,0.02,0.3,5
728250309868.3511,264.4351903285389,0.8773853011297565,5,mutation_prob=0.3,3,1.303614616394043,10,0.35,0.02,0.3,5
833596858059.0469,184.3238011716748,0.953175336524899,6,mutation_prob=0.3,4,1.305584192276001,10,0.35,0.02,0.3,5
1171615251886.0356,48.92704404300252,0.7882180042695598,3,theta_max=0.15,0,1.3191916942596436,10,0.15,0.02,0.05,5
1478199487060.9727,44.250155732277655,0.9296034564297523,6,theta_max=0.15,1,1.2948882579803467,10,0.15,0.02,0.05,5
1252212301457.292,788.4594561215877,1.0642847156528366,5,theta_max=0.15,2,1.2947392463684082,10,0.15,0.02,0.05,5
1092305697683.6714,475.2186756149196,1.0071236634695806,4,theta_max=0.15,3,1.2912771701812744,10,0.15,0.02,0.05,5
836155264419.3567,343.53386669358946,1.0486539109182091,16,theta_max=0.15,4,1.2862610816955566,10,0.15,0.02,0.05,5
831588147819.8555,160.14824589936904,0.9460494976229389,7,theta_max=0.25,0,1.2975435256958008,10,0.25,0.02,0.05,5
1244544829807.5,169.85860806304996,1.0250505928897553,11,theta_max=0.25,1,1.291198968887329,10,0.25,0.02,0.05,5
847431163089.4268,264.7184233870492,0.9892126644074378,6,theta_max=0.25,2,1.2785587310791016,10,0.25,0.02,0.05,5
1130035885307.625,160.19126713911766,1.0194878145424577,12,theta_max=0.25,3,1.279555082321167,10,0.25,0.02,0.05,5
1156807110988.4453,974.6799899162194,1.0692116882712996,8,theta_max=0.25,4,1.2799854278564453,10,0.25,0.02,0.05,5
947816703937.8516,354.567004298353,1.042666210348513,7,theta_max=0.5,0,1.291008710861206,10,0.5,0.02,0.05,5
789485912352.9316,496.12315900253617,1.0696393524745684,7,theta_max=0.5,1,1.2811627388000488,10,0.5,0.02,0.05,5
751556070311.7637,472.07133373692227,1.014389884145549,7,theta_max=0.5,2,1.2770309448242188,10,0.5,0.02,0.05,5
868696316041.6875,216.98448514198833,1.0014058151342482,7,theta_max=0.5,3,1.2819297313690186,10,0.5,0.02,0.05,5
1056841858909.7784,613.9052632700341,1.0754695593522756,13,theta_max=0.5,4,1.2811057567596436,10,0.5,0.02,0.05,5
1535502294104.5469,480.9292811047616,1.0581050051112169,7,theta_max=0.7,0,1.289599895477295,10,0.7,0.02,0.05,5
1276952736394.5469,189.88465127373775,1.0379872723572292,8,theta_max=0.7,1,1.2908601760864258,10,0.7,0.02,0.05,5
1143836395361.8555,741.9021412988378,1.0287051622719043,5,theta_max=0.7,2,1.279900312423706,10,0.7,0.02,0.05,5
1147484735967.6758,93.87456073411181,0.9348835524202149,6,theta_max=0.7,3,1.2795679569244385,10,0.7,0.02,0.05,5
754061005884.6326,256.8668554190941,0.9136468842283689,4,theta_max=0.7,4,1.2770166397094727,10,0.7,0.02,0.05,5
1365636779389.7734,257.71827375856907,1.0439201926314223,7,theta_max=0.9,0,1.2798495292663574,10,0.9,0.02,0.05,5
1194787017208.5508,183.30271429509827,1.0110574673881807,6,theta_max=0.9,1,1.2793867588043213,10,0.9,0.02,0.05,5
751111985079.707,222.92216510120375,0.9578413007224763,7,theta_max=0.9,2,1.2761235237121582,10,0.9,0.02,0.05,5
1104354034246.6948,683.6524987894124,0.9312879980181227,3,theta_max=0.9,3,1.2781455516815186,10,0.9,0.02,0.05,5
992494084607.9688,255.94541240356537,1.0448044218551313,10,theta_max=0.9,4,1.274596929550171,10,0.9,0.02,0.05,5
1213325661704.375,726.901143232946,1.0918137689716088,11,theta_min=0.005,0,1.2806732654571533,10,0.35,0.005,0.05,5
600934098549.2107,598.1489452897858,0.9664117356210039,5,theta_min=0.005,1,1.279280185699463,10,0.35,0.005,0.05,5
932100734790.7852,596.7332433647041,1.0596174596002657,6,theta_min=0.005,2,1.2804105281829834,10,0.35,0.005,0.05,5
1360247236630.9531,35.30302281255577,0.8688250766858524,8,theta_min=0.005,3,1.286790370941162,10,0.35,0.005,0.05,5
925681468102.9043,442.0535650427941,1.0199728529881344,6,theta_min=0.005,4,1.2803215980529785,10,0.35,0.005,0.05,5
954346620200.9414,690.6880532430878,1.0429864640335498,8,theta_min=0.01,0,1.284008264541626,10,0.35,0.01,0.05,5
934766144940.5625,298.86668069802005,1.03696703772363,11,theta_min=0.01,1,1.284604549407959,10,0.35,0.01,0.05,5
1218843725119.25,99.38890574569743,1.0221868680541595,12,theta_min=0.01,2,1.2713191509246826,10,0.35,0.01,0.05,5
1268855665568.0781,132.58194932368664,1.0219200534803645,7,theta_min=0.01,3,1.2560935020446777,10,0.35,0.01,0.05,5
1016409323379.6836,539.5322320901521,1.0627777133121914,7,theta_min=0.01,4,1.2509629726409912,10,0.35,0.01,0.05,5
1037830485131.0215,838.9768517563806,1.0431813652559645,6,theta_min=0.05,0,1.2519216537475586,10,0.35,0.05,0.05,5
888205349214.3301,76.74113131102426,0.9857783079499413,5,theta_min=0.05,1,1.253129482269287,10,0.35,0.05,0.05,5
916897018908.2812,113.03564894711623,0.9266094747142705,10,theta_min=0.05,2,1.2541358470916748,10,0.35,0.05,0.05,5
1302655280098.8525,776.2827857432648,1.0659690869819656,5,theta_min=0.05,3,1.2610673904418945,10,0.35,0.05,0.05,5
727694275180.3188,800.7771860109,1.0206522003084215,5,theta_min=0.05,4,1.2611055374145508,10,0.35,0.05,0.05,5
1384694970179.414,697.8554329694624,1.0280425642743605,6,theta_min=0.1,0,1.256321907043457,10,0.35,0.1,0.05,5
1220302091313.625,53.69622759979007,0.9401195511864201,11,theta_min=0.1,1,1.2535250186920166,10,0.35,0.1,0.05,5
1478803015430.837,321.7215764213446,1.0588010875180334,4,theta_min=0.1,2,1.2575514316558838,10,0.35,0.1,0.05,5
1381587299762.8828,350.49307494149116,1.0068538965394283,8,theta_min=0.1,3,1.2599492073059082,10,0.35,0.1,0.05,5
1563878908278.9414,584.555020945369,1.0569053766272658,5,theta_min=0.1,4,1.258284568786621,10,0.35,0.1,0.05,5
1018782340603.0,14.640308790463868,0.9246338165950212,12,theta_min=0.15,0,1.2573645114898682,10,0.35,0.15,0.05,5
896440153832.5703,34.32262492127214,0.8689684088946841,8,theta_min=0.15,1,1.2538409233093262,10,0.35,0.15,0.05,5
1417498838772.5273,261.60489233286484,0.9434468967771871,6,theta_min=0.15,2,1.251805305480957,10,0.35,0.15,0.05,5
1166964443844.2188,45.1374059742031,0.9737011386114975,10,theta_min=0.15,3,1.2624499797821045,10,0.35,0.15,0.05,5
1063200948013.3063,0.0,0.7142857142857143,2,theta_min=0.15,4,1.2529783248901367,10,0.35,0.15,0.05,5
478983913314.64844,398.20689919946557,1.0277288133963391,9,theta_min=0.2,0,1.2595856189727783,10,0.35,0.2,0.05,5
811541380793.1465,30.250017388546663,0.9201815303977238,13,theta_min=0.2,1,1.2678554058074951,10,0.35,0.2,0.05,5
792467213884.7388,629.3387198111017,1.0346740444395583,5,theta_min=0.2,2,1.2578256130218506,10,0.35,0.2,0.05,5
758954086163.9231,573.9473039721087,0.9679827933993599,3,theta_min=0.2,3,1.2595458030700684,10,0.35,0.2,0.05,5
1530546817926.4822,0.0,0.7142857142857142,2,theta_min=0.2,4,1.2634551525115967,10,0.35,0.2,0.05,5
803881383955.0005,199.0031355372544,0.985937507266917,4,theta_min=0.25,0,1.2681820392608643,10,0.35,0.25,0.05,5
1112820251364.6484,56.92861457044872,0.879859854939127,6,theta_min=0.25,1,1.2728464603424072,10,0.35,0.25,0.05,5
1216653416568.791,586.2021386695211,1.0234199269251492,5,theta_min=0.25,2,1.2660930156707764,10,0.35,0.25,0.05,5
953680099771.125,83.01958177179384,0.9911051953660176,10,theta_min=0.25,3,1.2741656303405762,10,0.35,0.25,0.05,5
1050054536637.2031,151.32579911410986,0.9874693073319961,7,theta_min=0.25,4,1.2718660831451416,10,0.35,0.25,0.05,5
650617847970.5312,363.8419445658803,1.0250540252012919,10,combined-best-matched,0,1.2798523902893066,10,0.7,0.1,0.1,5
1076399835352.8125,36.28560724879112,0.9222517031779893,7,combined-best-matched,1,1.2784321308135986,10,0.7,0.1,0.1,5
783691383926.4062,371.4688360256628,1.0566006049650898,9,combined-best-matched,2,1.2706947326660156,10,0.7,0.1,0.1,5
