hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,mutation_prob,n_partitions
971309258188.4648,36.18595272252523,0.7890988438266012,7,mutation_prob=0.2,4,1.9684321880340576,10,0.2,5
919784553282.5,437.8099992040135,0.9898857784479538,12,mutation_prob=0.3,0,1.968601942062378,10,0.3,5
574514260621.0,418.25687171068387,1.0034319796195115,11,mutation_prob=0.3,1,1.9630060195922852,10,0.3,5
508573247750.75195,24.63197259254896,0.7077840680849368,8,mutation_prob=0.3,2,1.9676599502563477,10,0.3,5
571027156430.125,378.6518448278534,0.993906813602493,12,mutation_prob=0.3,3,1.946885347366333,10,0.3,5
612935069369.918,263.6185157671289,0.8941781376585238,9,mutation_prob=0.3,4,1.9434123039245605,10,0.3,5
2231037392154.3438,239.29622268382917,0.957938941523415,9,confirm-baseline,0,1.894930124282837,10,0.05,5
1728400422239.4656,186.13929203766585,0.9635794478021253,17,confirm-baseline,1,1.9001033306121826,10,0.05,5
1888389816117.125,218.30374649139762,0.9715816420109391,11,confirm-baseline,2,1.9021518230438232,10,0.05,5
1728800058595.7031,220.817881333433,0.9088066125675007,9,confirm-baseline,3,1.8995325565338135,10,0.05,5
1239624295316.4883,294.56370029669216,0.9571882858055024,6,confirm-baseline,4,1.894986629486084,10,0.05,5
1146940538106.0464,330.6565826505991,0.982668078640865,15,confirm-baseline,5,1.8944191932678223,10,0.05,5
1785771768986.9307,257.5985055580763,0.9786183634458384,14,confirm-baseline,6,1.8936443328857422,10,0.05,5
1835423858250.0703,657.8749181488561,1.045445455199928,8,confirm-baseline,7,1.891683578491211,10,0.05,5
3019509586581.9688,186.1866679714677,0.9863864102477543,8,confirm-baseline,8,1.8958232402801514,10,0.05,5
1073929967504.9844,311.735105325227,0.9806358808793796,9,confirm-baseline,9,1.9012696743011475,10,0.05,5
1806226657407.4375,171.31376113181383,0.8950078599895396,8,confirm-baseline,10,1.89424467086792,10,0.05,5
998519779465.3375,366.75040057344535,0.9861475583301867,20,confirm-baseline,11,1.8871066570281982,10,0.05,5
1460725879824.289,966.2050190205647,1.0558067556036699,13,confirm-baseline,12,1.888676643371582,10,0.05,5
1755693076186.9375,628.9957871240778,1.0378365071155322,11,confirm-baseline,13,1.8858892917633057,10,0.05,5
1922374027243.5732,171.52257127288482,0.9524011008740451,17,confirm-baseline,14,1.8804404735565186,10,0.05,5
2337479307585.75,390.1901621875525,1.0303298662654923,10,confirm-combined-best,0,4.960230827331543,50,0.01,5
3782005312615.3086,1429.6432631188095,1.0951803454235083,5,confirm-combined-best,1,4.971313238143921,50,0.01,5
1769898997708.375,789.7976327276328,1.0939286689635672,11,confirm-combined-best,2,4.966808795928955,50,0.01,5
2611324179144.9414,28.614116716338362,0.9067240710233038,5,confirm-combined-best,3,4.984501123428345,50,0.01,5
3250584704849.5,119.49865710228116,0.989332044461864,9,confirm-combined-best,4,4.9685046672821045,50,0.01,5
3029258014073.9336,373.6274014540983,0.9659491574836742,5,confirm-combined-best,5,4.984679222106934,50,0.01,5
1915692883082.7812,365.9718797253156,1.0291057088532425,8,confirm-combined-best,6,5.007587909698486,50,0.01,5
2357589029254.75,141.28421881628262,0.9992271423475808,9,confirm-combined-best,7,4.965209722518921,50,0.01,5
3504454199324.5,1316.1877790731228,1.1003714977576668,9,confirm-combined-best,8,5.029249429702759,50,0.01,5
2784566940238.75,143.5628426009607,1.046830539652986,9,confirm-combined-best,9,4.9525306224823,50,0.01,5
2185586308028.875,299.91983782912473,1.0110372535700607,8,confirm-combined-best,10,4.9405739307403564,50,0.01,5
3447434133312.565,179.74431820122535,0.99489860806534,15,confirm-combined-best,11,4.978806495666504,50,0.01,5
2539081966798.5,566.5372120873403,1.0898012372955652,11,confirm-combined-best,12,5.3763039112091064,50,0.01,5
3146412718169.625,255.666082004919,1.0237403834682401,10,confirm-combined-best,13,5.438525438308716,50,0.01,5
1994499841348.8125,339.06945714060276,1.0203546014588019,9,confirm-combined-best,14,5.49462366104126,50,0.01,5
