hypervolume,spacing,spread,n_solutions,algorithm,run,instance,time_s
192537144591231.88,2.6410069155285734,1.0369617986752295,79,MOEA/D,6,M-n200-k16,41.528998136520386
243609592981448.34,8.45120338198381,1.1829810599403459,80,MOEA/D,7,M-n200-k16,42.72205424308777
222465846057390.94,5.374362374922529,1.0686779588376143,50,MOEA/D,8,M-n200-k16,42.548280477523804
169651594269291.66,2.8170742023957085,1.065871354180849,86,MOEA/D,9,M-n200-k16,42.09601712226868
245868463098236.72,3.50825619000425,1.0919250381984742,84,MOEA/D,10,M-n200-k16,42.29578137397766
189558450525457.34,5.8989977101838305,1.0777574398709562,34,MOEA/D,11,M-n200-k16,43.39468336105347
208585637504115.8,5.725803351119444,1.1721720369764235,49,MOEA/D,12,M-n200-k16,46.41898036003113
201417232307117.03,0.0,1.0,49,MOEA/D,13,M-n200-k16,44.08681058883667
218034894591438.44,6.216036556317215,1.0943572984994676,56,MOEA/D,14,M-n200-k16,42.99471116065979
181742193051256.28,0.0,1.0,35,MOEA/D,15,M-n200-k16,40.79888343811035
195586198695075.5,0.0,1.0,66,MOEA/D,16,M-n200-k16,41.879942893981934
194043069942554.12,0.0,1.0,68,MOEA/D,17,M-n200-k16,40.541160106658936
221156474152657.06,5.828071440197073,1.1918817624041642,93,MOEA/D,18,M-n200-k16,40.42890644073486
189261790096874.1,1.5860542336365393,1.0234141641211896,88,MOEA/D,19,M-n200-k16,40.269615650177
227247741238824.22,6.331988825127369,1.0536074990600712,42,MOEA/D,20,M-n200-k16,38.86539363861084
219112962742001.94,7.935133386629765,1.0927382669742887,78,MOEA/D,21,M-n200-k16,38.91428256034851
199577543281210.34,0.0,1.0,18,MOEA/D,22,M-n200-k16,38.235965728759766
216876384516421.2,9.246978596982455,1.1364737462279977,69,MOEA/D,23,M-n200-k16,38.51328468322754
178135273822918.22,2.663629291720814,1.0218162497114558,47,MOEA/D,24,M-n200-k16,37.54125785827637
227555829057507.88,6.511886733130363,1.0889428714247025,81,MOEA/D,25,M-n200-k16,37.25404095649719
239266337852988.2,6.402437582383314,1.0520934124700216,61,MOEA/D,26,M-n200-k16,38.01724171638489
251457709612554.38,5.160984921483833,1.0924390784938007,64,MOEA/D,27,M-n200-k16,38.80732560157776
217240996083234.4,18.843208447855403,1.112132072167448,17,MOEA/D,28,M-n200-k16,39.129456996917725
229221940240394.06,3.6316306254272286,1.1759306264064417,114,MOEA/D,29,M-n200-k16,35.700610876083374
181339828557977.1,44.51241334218548,0.7704091526531105,16,RVEA,0,M-n200-k16,20.517701148986816
173905340301270.5,74.11091117472255,0.8665377216434008,19,RVEA,1,M-n200-k16,19.97463059425354
275245855696992.8,82.5502185119444,0.9013939690817694,15,RVEA,2,M-n200-k16,19.87881851196289
202348339324607.03,37.12133814080172,0.7884560361586368,18,RVEA,3,M-n200-k16,20.044543027877808
198216257330777.84,116.28121599706556,0.8649280954209263,21,RVEA,4,M-n200-k16,20.496330499649048
175033350524242.12,48.203683875481744,0.7604866645994738,20,RVEA,5,M-n200-k16,20.23271131515503
212832211486824.3,33.55431539816202,0.8498350149067981,19,RVEA,6,M-n200-k16,19.905183792114258
217852164716794.72,87.16586494617837,0.7807152952629756,16,RVEA,7,M-n200-k16,19.841310024261475
157390562069142.8,88.66997574653527,0.7911471469781016,14,RVEA,8,M-n200-k16,20.51646375656128
181928318564351.72,27.293732760653196,0.7845134912246526,15,RVEA,9,M-n200-k16,19.70721936225891
185652111278833.8,41.82778689003006,0.8402192242045408,17,RVEA,10,M-n200-k16,19.887389183044434
210213425219634.44,86.31847427450433,0.8606385203527264,14,RVEA,11,M-n200-k16,19.97276020050049
185544791097943.8,83.23201635242083,0.7723611144984607,13,RVEA,12,M-n200-k16,20.342135906219482
177432244688315.4,70.70395757866643,0.8990287601385446,14,RVEA,13,M-n200-k16,21.134422063827515
222813731271458.94,145.10367259956118,0.9075948485993685,14,RVEA,14,M-n200-k16,19.51314115524292
184552278905336.6,36.791236083973224,0.7868847442715864,16,RVEA,15,M-n200-k16,19.31175422668457
217243365762432.0,102.47336046039572,0.9289267253979123,11,RVEA,16,M-n200-k16,19.374475955963135
183334730087708.5,43.683386140507736,0.6899541708772162,15,RVEA,17,M-n200-k16,18.70659828186035
229092936168091.97,42.708048561568695,0.7893157728991422,16,RVEA,18,M-n200-k16,18.914078950881958
208543424952313.56,72.52832998035096,0.8537701722509923,21,RVEA,19,M-n200-k16,18.817090272903442
189761004241492.8,38.16340583729476,0.8222517354146239,17,RVEA,20,M-n200-k16,17.94400429725647
164203941994697.25,19.95197863606513,0.7625889988411652,15,RVEA,21,M-n200-k16,17.823691606521606
196647280742464.0,39.20565666116083,0.787001470232734,12,RVEA,22,M-n200-k16,17.689770460128784
146849614754688.0,46.69690429603935,0.79079373269988,12,RVEA,23,M-n200-k16,17.6794171333313
181055526809725.12,22.60534553795735,0.7347351302108626,14,RVEA,24,M-n200-k16,17.622661352157593
210607132506938.06,44.7559616283947,0.8838253173398614,15,RVEA,25,M-n200-k16,17.985524654388428
173362393839214.88,16.542011782217546,0.698686855366462,14,RVEA,26,M-n200-k16,18.453668117523193
217599662385930.72,105.33144598975959,0.8931607518166153,15,RVEA,27,M-n200-k16,17.80894446372986
221012947951332.25,24.260750083551716,0.7609105507342726,15,RVEA,28,M-n200-k16,18.108992099761963
214186494145027.28,35.05086473804152,0.7656446687740217,14,RVEA,29,M-n200-k16,18.04754137992859
