hypervolume,spacing,spread,n_solutions,algorithm,run,instance,time_s
9901413198.621586,3.4118598469048207,1.1431698310062213,67,MOEA/D,23,route3_202,36.38335680961609
15195869436.899239,0.5819492648889497,1.0216238356552447,56,MOEA/D,24,route3_202,37.7859365940094
13066158108.831606,1.4446006034534316,1.0588314017738183,56,MOEA/D,25,route3_202,36.629209756851196
17481555836.75686,2.040641020120059,1.1382380849053486,82,MOEA/D,26,route3_202,36.16481852531433
15211003285.101349,3.345032115345968,1.1598688881268187,86,MOEA/D,27,route3_202,36.73576378822327
11072319955.524021,0.0,1.0,17,MOEA/D,28,route3_202,36.899174451828
11720744015.222097,0.5039001240459067,1.0293523866774539,87,MOEA/D,29,route3_202,37.104010581970215
13961145840.298378,35.23328820935389,0.8942514976691832,21,RVEA,0,route3_202,19.644721508026123
14156050406.774397,12.763924698662109,0.8149188727883963,18,RVEA,1,route3_202,19.220613956451416
9012236402.691788,35.0753841725334,0.9204773226558215,19,RVEA,2,route3_202,19.27595829963684
9496290597.303522,41.09435033164477,0.9083888472423625,26,RVEA,3,route3_202,18.69662642478943
12726882571.000444,36.40152849346544,0.9206336169361393,20,RVEA,4,route3_202,19.15657114982605
13504221549.886292,45.73716742823516,0.976121290626694,19,RVEA,5,route3_202,19.35335397720337
15508814377.610512,28.851961011391584,0.9265586401598733,23,RVEA,6,route3_202,19.128150701522827
11876072887.6952,35.29914905825017,0.9025226751867699,26,RVEA,7,route3_202,19.010635375976562
11690248480.840767,32.481074076788005,0.9069638785374986,18,RVEA,8,route3_202,19.047602891921997
12599065597.622957,219.1317393119316,1.038693035210341,26,RVEA,9,route3_202,19.054973125457764
15919654178.622314,32.74745570402403,0.9123654328425032,19,RVEA,10,route3_202,18.913334608078003
11635737942.784086,91.01591207067034,0.9752132167648859,18,RVEA,11,route3_202,19.020692110061646
14502969907.225037,19.784414786762405,0.8849527187790175,17,RVEA,12,route3_202,18.797771215438843
11687885345.561342,93.79651418257326,0.9595158097084021,23,RVEA,13,route3_202,18.762959003448486
12247176330.958658,80.66247321719354,0.9301776092919384,25,RVEA,14,route3_202,18.673519611358643
12728072892.037176,20.68245695817928,0.8524715766627208,20,RVEA,15,route3_202,17.227758169174194
12527045156.310053,91.77867238604648,1.0114226345834834,20,RVEA,16,route3_202,17.540003538131714
13752195330.522661,32.98919212657009,0.8670764327170902,19,RVEA,17,route3_202,17.081658601760864
12929731164.259228,37.760274716007984,0.9378333862352295,20,RVEA,18,route3_202,17.208693027496338
19482555910.98248,148.61943083197338,1.033858472960874,21,RVEA,19,route3_202,17.477999448776245
