hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,theta_max,theta_min,mutation_prob,n_partitions
575611593418.9219,244.51824940949692,0.9789938079348061,9,mutation_prob=0.2,1,1.2702836990356445,10,0.35,0.02,0.2,default
950000331498.1621,798.5007775164046,1.0284534662630123,7,mutation_prob=0.2,2,1.2742314338684082,10,0.35,0.02,0.2,default
774817744455.25,41.96193798215542,0.8636059060010379,12,mutation_prob=0.2,3,1.2693870067596436,10,0.35,0.02,0.2,default
579000309171.0156,423.5556516871811,1.0219513393298094,11,mutation_prob=0.2,4,1.2633497714996338,10,0.35,0.02,0.2,default
753824067542.6747,48.26166403229267,0.8159959552939567,3,mutation_prob=0.3,0,1.267458200454712,10,0.35,0.02,0.3,default
687172670065.875,40.7262078977372,0.8630725716832922,11,mutation_prob=0.3,1,1.2679016590118408,10,0.35,0.02,0.3,default
516629586805.8789,231.26538496980888,0.9180805948567319,6,mutation_prob=0.3,2,1.277583122253418,10,0.35,0.02,0.3,default
745866088327.3066,264.4351903285389,0.8773853011297565,5,mutation_prob=0.3,3,1.2725400924682617,10,0.35,0.02,0.3,default
852785677974.3042,184.3238011716748,0.953175336524899,6,mutation_prob=0.3,4,1.2757036685943604,10,0.35,0.02,0.3,default
1196916215429.981,48.92704404300252,0.7882180042695598,3,theta_max=0.15,0,1.2758395671844482,10,0.15,0.02,0.05,default
1507082390394.2773,44.250155732277655,0.9296034564297523,6,theta_max=0.15,1,1.286902904510498,10,0.15,0.02,0.05,default
1276681896116.8145,788.4594561215877,1.0642847156528366,5,theta_max=0.15,2,1.2844855785369873,10,0.15,0.02,0.05,default
1115177158556.6826,475.2186756149196,1.0071236634695806,4,theta_max=0.15,3,1.2832062244415283,10,0.15,0.02,0.05,default
854759384774.4299,343.53386669358946,1.0486539109182091,16,theta_max=0.15,4,1.280719518661499,10,0.15,0.02,0.05,default
851225715785.3984,160.14824589936904,0.9460494976229389,7,theta_max=0.25,0,1.286087989807129,10,0.25,0.02,0.05,default
1270629586682.125,169.85860806304996,1.0250505928897553,11,theta_max=0.25,1,1.282275676727295,10,0.25,0.02,0.05,default
867396649206.6191,264.7184233870492,0.9892126644074378,6,theta_max=0.25,2,1.2816476821899414,10,0.25,0.02,0.05,default
1154542889512.5,160.19126713911766,1.0194878145424577,12,theta_max=0.25,3,1.2789201736450195,10,0.25,0.02,0.05,default
1180309090638.2188,974.6799899162194,1.0692116882712996,8,theta_max=0.25,4,1.2751855850219727,10,0.25,0.02,0.05,default
968582854866.8125,354.567004298353,1.042666210348513,7,theta_max=0.5,0,1.2779293060302734,10,0.5,0.02,0.05,default
806423794280.4746,496.12315900253617,1.0696393524745684,7,theta_max=0.5,1,1.2767815589904785,10,0.5,0.02,0.05,default
768256853230.9629,472.07133373692227,1.014389884145549,7,theta_max=0.5,2,1.2805595397949219,10,0.5,0.02,0.05,default
887431029226.0156,216.98448514198833,1.0014058151342482,7,theta_max=0.5,3,1.2820425033569336,10,0.5,0.02,0.05,default
1078066341879.7712,613.9052632700341,1.0754695593522756,13,theta_max=0.5,4,1.2740542888641357,10,0.5,0.02,0.05,default
1565592464957.9766,480.9292811047616,1.0581050051112169,7,theta_max=0.7,0,1.2728877067565918,10,0.7,0.02,0.05,default
