hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,mutation_prob,n_partitions
928737005.8431678,284.8406764349484,1.0189338115080047,13,mutation_prob=0.15,4,2.5834803581237793,10,0.15,5
612761584.6598433,126.87546169792594,0.9827973590765857,14,mutation_prob=0.2,0,2.590506076812744,10,0.2,5
674479428.3451238,41.796196246629115,0.8978220630449627,19,mutation_prob=0.2,1,2.5994577407836914,10,0.2,5
705038893.3804092,59.55956660846111,0.8814045543741381,19,mutation_prob=0.2,2,2.59257173538208,10,0.2,5
701292279.0850401,132.09920051993282,0.9959126761849523,19,mutation_prob=0.2,3,2.5914618968963623,10,0.2,5
534306466.5658028,36.027211982616734,0.8936641934521987,29,mutation_prob=0.2,4,2.578942060470581,10,0.2,5
571601476.8020782,209.90229375030512,0.9760488465662897,11,mutation_prob=0.3,0,2.5961203575134277,10,0.3,5
478951616.3616718,106.64162495681231,0.976409437805809,19,mutation_prob=0.3,1,2.588639497756958,10,0.3,5
770204671.7262181,90.38013491837141,0.8752295298642101,13,mutation_prob=0.3,2,2.5827043056488037,10,0.3,5
576667510.0786604,26.748587547930505,0.902710921100592,27,mutation_prob=0.3,3,2.587327241897583,10,0.3,5
498785759.1654385,53.39874688479179,0.9264526261705708,23,mutation_prob=0.3,4,2.591055393218994,10,0.3,5
1146661582.1374512,148.40654795077842,0.9857456735911164,12,confirm-baseline,0,2.576388120651245,10,0.05,5
599424022.579584,62.455419227869676,0.9666055531983585,26,confirm-baseline,1,2.581908702850342,10,0.05,5
796649803.0835766,242.9171876542146,1.028955664887264,27,confirm-baseline,2,2.5726165771484375,10,0.05,5
759006501.252914,274.5795362221242,1.0307643641215545,16,confirm-baseline,3,2.575927972793579,10,0.05,5
892624716.4172044,122.75154887976885,0.9787546302507786,22,confirm-baseline,4,2.585378646850586,10,0.05,5
1189065043.856235,70.94158036532107,0.9695357778637376,17,confirm-baseline,5,2.577704906463623,10,0.05,5
1055758076.0988908,148.7035957211472,0.9668181589984072,18,confirm-baseline,6,2.585221290588379,10,0.05,5
817984661.8661988,127.329278567851,0.9906121487055426,25,confirm-baseline,7,2.578659772872925,10,0.05,5
864337750.065634,201.62844609158049,1.0075454493678455,16,confirm-baseline,8,2.577544689178467,10,0.05,5
851636278.4004915,78.64052554099622,0.9770601543727745,21,confirm-baseline,9,2.578150749206543,10,0.05,5
831986506.9293247,313.7682836912661,1.0373430349401982,16,confirm-baseline,10,2.5765419006347656,10,0.05,5
960319082.177677,287.4444424949516,1.0450536795796497,23,confirm-baseline,11,2.5738587379455566,10,0.05,5
851683753.8346395,286.7223926562942,1.0188511166615968,21,confirm-baseline,12,2.5791451930999756,10,0.05,5
1522502680.7992592,43.136722527677605,0.8939473279088447,25,confirm-baseline,13,2.577397584915161,10,0.05,5
1154188099.1776347,346.0365144366616,1.0238026067324333,13,confirm-baseline,14,2.584939479827881,10,0.05,5
2515711798.81781,124.31093765501319,1.0187765251662808,21,confirm-combined-best,0,3.3487884998321533,20,0.01,5
978555700.7960033,50.67347751643872,0.9535293963672342,18,confirm-combined-best,1,3.3392794132232666,20,0.01,5
1818118728.6236675,167.64476428763098,1.054088031954355,15,confirm-combined-best,2,3.3499226570129395,20,0.01,5
2185677413.62201,481.39568666266064,1.0582138067351883,15,confirm-combined-best,3,3.3467884063720703,20,0.01,5
1603225795.821185,375.1805840397726,1.052966651039267,14,confirm-combined-best,4,3.3348591327667236,20,0.01,5
1349836422.852451,517.3928164948536,1.12005363185173,20,confirm-combined-best,5,3.3463449478149414,20,0.01,5
1361539032.4631803,398.88627740402194,1.0736688819826523,15,confirm-combined-best,6,3.3303072452545166,20,0.01,5
2141977251.646109,74.27537626452204,1.0023923168903137,15,confirm-combined-best,7,3.3412349224090576,20,0.01,5
1381473851.8165696,302.24311606966245,1.0737429368501938,19,confirm-combined-best,8,3.3436286449432373,20,0.01,5
2157355032.0831122,28.291157458412563,0.983453680829786,17,confirm-combined-best,9,3.3451955318450928,20,0.01,5
2620417679.4155273,17.651433233134693,0.9296595605545601,12,confirm-combined-best,10,3.3498716354370117,20,0.01,5
2365329465.253102,258.5851630167467,1.0982018947819039,19,confirm-combined-best,11,3.342344045639038,20,0.01,5
1532968227.7282245,378.12806517862555,1.0520973831431317,17,confirm-combined-best,12,3.346782684326172,20,0.01,5
2156992727.1504874,278.98811173424525,1.08853749887377,23,confirm-combined-best,13,3.349241018295288,20,0.01,5
3719176301.023267,57.35083070848989,1.017287936399894,15,confirm-combined-best,14,3.4085886478424072,20,0.01,5
