hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var,theta_min,theta_max
1545642476613.5625,76.6197083913929,0.9623957095708691,10,scaled-mmin=0.5-mmax=14,1,1.2594902515411377,A-n32-k5,31,0.025335424625724138,0.7093918895202759
1609885808435.0146,463.34171816970195,0.9795008968974587,3,scaled-mmin=0.5-mmax=14,2,1.2556309700012207,A-n32-k5,31,0.025335424625724138,0.7093918895202759
1511083277433.289,713.3405341194291,1.0710581191677897,8,scaled-mmin=0.5-mmax=28,0,1.2600951194763184,A-n32-k5,31,0.025335424625724138,1.4187837790405518
557880952164.3516,762.1820595853201,1.0713020320896545,9,scaled-mmin=0.5-mmax=28,1,1.2631511688232422,A-n32-k5,31,0.025335424625724138,1.4187837790405518
1179034729264.0,209.55523380649296,1.0140668840463463,9,scaled-mmin=0.5-mmax=28,2,1.2600245475769043,A-n32-k5,31,0.025335424625724138,1.4187837790405518
1426634146322.914,53.1443863082276,0.909848596083805,7,scaled-mmin=1-mmax=2,0,1.2592437267303467,A-n32-k5,31,0.050670849251448276,0.10134169850289655
855856166744.3125,339.6638988032214,0.9515968890438086,8,scaled-mmin=1-mmax=2,1,1.262486219406128,A-n32-k5,31,0.050670849251448276,0.10134169850289655
1356756872817.8086,95.8985726653048,0.9635639167317971,5,scaled-mmin=1-mmax=2,2,1.259690523147583,A-n32-k5,31,0.050670849251448276,0.10134169850289655
627159600126.2344,527.1880208097132,1.0384799410653371,10,scaled-mmin=1-mmax=4,0,1.2633123397827148,A-n32-k5,31,0.050670849251448276,0.2026833970057931
900178898178.9297,284.7275526565159,1.0277885381414116,9,scaled-mmin=1-mmax=4,1,1.261983871459961,A-n32-k5,31,0.050670849251448276,0.2026833970057931
1360731317977.1992,174.3316753401668,0.9991690533754592,6,scaled-mmin=1-mmax=4,2,1.2581939697265625,A-n32-k5,31,0.050670849251448276,0.2026833970057931
1816296977682.1758,1146.8726737896814,1.0521708229814946,4,scaled-mmin=1-mmax=7,0,1.2616801261901855,A-n32-k5,31,0.050670849251448276,0.35469594476013794
1123210297826.1177,117.50547146908255,0.9936471883939896,4,scaled-mmin=1-mmax=7,1,1.2615184783935547,A-n32-k5,31,0.050670849251448276,0.35469594476013794
908301624842.7656,489.50091713263197,1.092980810552136,9,scaled-mmin=1-mmax=7,2,1.2609443664550781,A-n32-k5,31,0.050670849251448276,0.35469594476013794
1055572752486.2969,183.37430939966885,0.9562336634382974,9,scaled-mmin=1-mmax=14,0,1.2599174976348877,A-n32-k5,31,0.050670849251448276,0.7093918895202759
1241229860021.5747,683.3810907213646,1.0869937920668526,14,scaled-mmin=1-mmax=14,1,1.261756181716919,A-n32-k5,31,0.050670849251448276,0.7093918895202759
1651885861738.125,349.2550045215685,1.0642844256942128,10,scaled-mmin=1-mmax=14,2,1.262315034866333,A-n32-k5,31,0.050670849251448276,0.7093918895202759
1427969303556.9902,1020.5473003169114,1.0691169466408572,4,scaled-mmin=1-mmax=28,0,1.265491008758545,A-n32-k5,31,0.050670849251448276,1.4187837790405518
782833575269.3438,892.7856963209802,1.0765678135625294,10,scaled-mmin=1-mmax=28,1,1.266671895980835,A-n32-k5,31,0.050670849251448276,1.4187837790405518
1091728585853.0,210.50163874985043,0.9963650201716014,9,scaled-mmin=1-mmax=28,2,1.2653121948242188,A-n32-k5,31,0.050670849251448276,1.4187837790405518
850257835981.5303,881.3870125567495,1.02225997696815,6,scaled-mmin=2-mmax=4,0,1.2640440464019775,A-n32-k5,31,0.10134169850289655,0.2026833970057931
1560268869192.461,20.176427498149927,0.752313028031375,7,scaled-mmin=2-mmax=4,1,1.2626960277557373,A-n32-k5,31,0.10134169850289655,0.2026833970057931
1091845726258.4375,146.745600148304,0.9792160826811102,11,scaled-mmin=2-mmax=4,2,1.2593882083892822,A-n32-k5,31,0.10134169850289655,0.2026833970057931
1722069922150.0156,785.3214800800761,1.0716967214742812,8,scaled-mmin=2-mmax=7,0,1.260885238647461,A-n32-k5,31,0.10134169850289655,0.35469594476013794
1078445834381.6719,933.5731842458931,1.0803310590416244,9,scaled-mmin=2-mmax=7,1,1.2691736221313477,A-n32-k5,31,0.10134169850289655,0.35469594476013794
616423379397.5312,600.5749445516818,1.0507086892975455,7,scaled-mmin=2-mmax=7,2,1.2664613723754883,A-n32-k5,31,0.10134169850289655,0.35469594476013794
1210287569391.5488,567.8088686181762,1.0209608528088343,6,scaled-mmin=2-mmax=14,0,1.2682335376739502,A-n32-k5,31,0.10134169850289655,0.7093918895202759
1547904705640.6465,564.5353494078496,1.0314122796494576,6,scaled-mmin=2-mmax=14,1,1.2724566459655762,A-n32-k5,31,0.10134169850289655,0.7093918895202759
1204861554448.405,401.5166945118072,1.0904044764379968,16,scaled-mmin=2-mmax=14,2,1.2726655006408691,A-n32-k5,31,0.10134169850289655,0.7093918895202759
1504121164586.3594,376.4834318175121,1.065100478384476,8,scaled-mmin=2-mmax=28,0,1.27921462059021,A-n32-k5,31,0.10134169850289655,1.4187837790405518
759978114357.8945,979.2051327199065,0.971959461708201,4,scaled-mmin=2-mmax=28,1,1.2775816917419434,A-n32-k5,31,0.10134169850289655,1.4187837790405518
1450950907978.4512,742.4753610500089,1.041607910681977,6,scaled-mmin=2-mmax=28,2,1.2782995700836182,A-n32-k5,31,0.10134169850289655,1.4187837790405518
1753845093100.125,282.7707649148632,1.0690554154677114,9,scaled-mmin=4-mmax=7,0,1.2761929035186768,A-n32-k5,31,0.2026833970057931,0.35469594476013794
1086238809193.9844,257.08575811151405,1.0077712862499828,8,scaled-mmin=4-mmax=7,1,1.2792742252349854,A-n32-k5,31,0.2026833970057931,0.35469594476013794
852353974139.2266,136.58654449100788,0.9098202827153715,7,scaled-mmin=4-mmax=7,2,1.2756845951080322,A-n32-k5,31,0.2026833970057931,0.35469594476013794
878741284968.1484,472.5597208018395,1.01819515858327,7,scaled-mmin=4-mmax=14,0,1.275879144668579,A-n32-k5,31,0.2026833970057931,0.7093918895202759
1173689300158.495,441.4744571560245,0.9452788247341158,4,scaled-mmin=4-mmax=14,1,1.271803855895996,A-n32-k5,31,0.2026833970057931,0.7093918895202759
711107141568.0518,354.1915024819629,0.8882835811264381,3,scaled-mmin=4-mmax=14,2,1.2658817768096924,A-n32-k5,31,0.2026833970057931,0.7093918895202759
1187616961276.3477,157.78401075616347,0.9042178203312597,6,scaled-mmin=4-mmax=28,0,1.2740364074707031,A-n32-k5,31,0.2026833970057931,1.4187837790405518
634765767843.4834,859.0950302320315,1.0532382374483502,7,scaled-mmin=4-mmax=28,1,1.2637443542480469,A-n32-k5,31,0.2026833970057931,1.4187837790405518
827326417897.7324,30.578482163173476,0.801720721310877,6,scaled-mmin=4-mmax=28,2,1.2631542682647705,A-n32-k5,31,0.2026833970057931,1.4187837790405518
1444372537207.4,79.25486745275109,0.954620032660638,3,scaled-mmin=8-mmax=14,0,1.2637958526611328,A-n32-k5,31,0.4053667940115862,0.7093918895202759
1627429893810.1758,138.2634338415629,0.9918959874347609,4,scaled-mmin=8-mmax=14,1,1.2637848854064941,A-n32-k5,31,0.4053667940115862,0.7093918895202759
1117760038128.625,59.44860578074104,0.8829441407992843,11,scaled-mmin=8-mmax=14,2,1.2628095149993896,A-n32-k5,31,0.4053667940115862,0.7093918895202759
1160526056773.2734,416.486180041425,0.9991001288688841,6,scaled-mmin=8-mmax=28,0,1.2656123638153076,A-n32-k5,31,0.4053667940115862,1.4187837790405518
523222733282.9458,700.3789806072671,0.9887192849120603,5,scaled-mmin=8-mmax=28,1,1.2643094062805176,A-n32-k5,31,0.4053667940115862,1.4187837790405518
1048903956923.5203,413.14944135521705,0.9864199176399222,3,scaled-mmin=8-mmax=28,2,1.2644789218902588,A-n32-k5,31,0.4053667940115862,1.4187837790405518
